Index,Timestamp_US,RSSI,Smoothed_RSSI
770,66169959,-50,-50
771,66170059,-50,-50
772,66170159,-50,-50
773,66170259,-50,-50
774,66170359,-50,-50
775,66170459,-50,-50
776,66170559,-50,-50
777,66170659,-50,-50
778,66170759,-50,-50
779,66170859,-50,-50
780,66170959,-50,-50
781,66171059,-50,-50
782,66171159,-50,-50
783,66171259,-50,-50
784,66171359,-50,-50
785,66171459,-50,-50
786,66171559,-50,-50
787,66171659,-50,-50
788,66171759,-50,-50
789,66171859,-50,-50
790,66171959,-50,-50
791,66172059,-50,-50
792,66172159,-50,-50
793,66172259,-50,-50
794,66172359,-50,-50
795,66172459,-50,-50
796,66172559,-50,-50
797,66172659,-50,-50
798,66172759,-50,-50
799,66172859,-50,-50
800,66172959,-50,-50
801,66173059,-50,-50
802,66173159,-50,-50
803,66173259,-50,-50
804,66173359,-49,-49
805,66173459,-49,-49
806,66173559,-49,-49
807,66173659,-49,-49
808,66173759,-49,-49
809,66173859,-49,-49
810,66173959,-49,-49
811,66174059,-49,-49
812,66174159,-49,-49
813,66174259,-49,-49
814,66174359,-49,-49
815,66174459,-49,-49
816,66174559,-49,-49
817,66174659,-49,-49
818,66174759,-49,-49
819,66174859,-49,-49
820,66174959,-49,-49
821,66175059,-49,-49
822,66175159,-49,-49
823,66175259,-49,-49
824,66175359,-49,-49
825,66175459,-49,-49
826,66175559,-49,-49
827,66175659,-49,-49
828,66175759,-49,-49
829,66175859,-49,-49
830,66175959,-49,-49
831,66176059,-49,-49
832,66176159,-49,-49
833,66176259,-49,-49
834,66176359,-49,-49
835,66176459,-49,-49
836,66176559,-49,-49
837,66176659,-49,-49
838,66176759,-49,-49
839,66176859,-49,-49
840,66176959,-49,-49
841,66177059,-49,-49
842,66177159,-49,-49
843,66177259,-49,-49
844,66177359,-49,-49
845,66177459,-49,-49
846,66177559,-49,-49
847,66177659,-49,-49
848,66177759,-49,-49
849,66177859,-49,-49
850,66177959,-49,-49
851,66178059,-49,-49
852,66178159,-49,-49
853,66178259,-49,-49
854,66178359,-49,-49
855,66178459,-49,-49
856,66178559,-49,-49
857,66178659,-49,-49
858,66178759,-49,-49
859,66178859,-49,-49
860,66178959,-49,-49
861,66179059,-49,-49
862,66179159,-49,-49
863,66179259,-49,-49
864,66179359,-49,-49
865,66179459,-49,-49
866,66179559,-49,-49
867,66179659,-49,-49
868,66179759,-49,-49
869,66179859,-49,-49
870,66179959,-49,-49
871,66180059,-49,-49
872,66180159,-49,-49
873,66180259,-49,-49
874,66180359,-49,-49
875,66180459,-49,-49
876,66180559,-49,-49
877,66180659,-48,-48
878,66180759,-48,-48
879,66180859,-48,-48
880,66180959,-48,-48
881,66181059,-48,-48
882,66181159,-48,-48
883,66181259,-48,-48
884,66181359,-48,-48
885,66181459,-48,-48
886,66181559,-48,-48
887,66181659,-48,-48
888,66181759,-48,-48
889,66181859,-48,-48
890,66181959,-48,-48
891,66182059,-48,-48
892,66182159,-48,-48
893,66182259,-48,-48
894,66182359,-48,-48
895,66182459,-48,-48
896,66182559,-48,-48
